Contract Type,Sales Org,Distribution Channel,Division,Purchase Org,Purchase Group,New Counterparty,External Ref,Inco1,Material,Plant,Quantity,UoM,Del From,Del To,Valuation Point,DPQS,Version,Validity Version,Timing,Gov Grades,Gov Weights,MoT,Tol Sched,Tol Typ,Exp Del Qty,UoM2,Intended Price Type,Trader,Side,Created On,Created At
YC3P,1000,10,05,1000,100,100000129,12988,DDP,10010,1000,"8,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,1/29/2018,9:35:05 AM
YC3P,1000,10,05,1000,100,100000120,13127,DDP,10010,1000,"4,500",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,AIYER,M,1/29/2018,12:49:50 PM
YC3P,1000,10,05,1000,100,100000246,13154,DDP,10010,1000,"2,700",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VCHERUKO,M,1/29/2018,1:40:08 PM
YC3P,1000,10,05,1000,100,100000294,13345,DDP,10010,1000,"8,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NFE,AODLAUG,M,1/30/2018,11:27:08 AM
YC3P,1000,10,05,1000,100,100000115,13410,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PKEITER,M,1/30/2018,12:25:33 PM
YC3P,1000,10,05,1000,100,100000573,13444,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,1/30/2018,12:50:51 PM
YC3P,1000,10,05,1000,100,100000170,13557,DDP,10010,1000,900,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PKEITER,M,1/30/2018,2:54:01 PM
YC3P,1000,10,05,1000,100,100000186,13620,DDP,10010,1000,"1,800",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,AODLAUG,M,1/31/2018,9:29:37 AM
YC3P,1000,10,05,1000,100,100000263,13642,DDP,10010,1001,"1,500",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,1/31/2018,9:59:21 AM
YC3P,1000,10,05,1000,100,100000190,13643,DDP,10010,1001,"1,500",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,1/31/2018,10:01:04 AM
YC3P,1000,10,05,1000,100,100000081,13644,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,RLAU,M,1/31/2018,10:03:58 AM
YC3P,1000,10,05,1000,100,100000278,13825,DDP,10082,1005,75,TO,5/1/2019,5/31/2019,US_ND_ENDERLIN,AGPATH ENDERLIN CANOLA SEED VAL,1,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,JMCNEILE,M,2/1/2018,9:11:57 AM
YC3P,1000,10,05,1000,100,100000277,13826,DDP,10082,1005,38,TO,5/1/2019,5/31/2019,US_ND_ENDERLIN,AGPATH ENDERLIN CANOLA SEED VAL,1,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,JMCNEILE,M,2/1/2018,9:13:30 AM
YC3P,1000,10,05,1000,100,100000184,14088,DDP,10010,1000,550,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,JPATHAK,M,2/5/2018,9:50:49 AM
YC3P,1000,10,05,1000,100,100000238,14324,DDP,10010,1001,"2,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,ZZAMAN,M,2/7/2018,10:06:08 AM
YC3P,1000,10,05,1000,100,100000117,14506,DDP,10010,1001,"2,700",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/8/2018,12:16:35 PM
YC3P,1000,10,05,1000,100,100000245,14508,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/8/2018,12:24:41 PM
YC3P,1000,10,05,1000,100,100000121,15082,DDP,10010,1001,"10,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,2/12/2018,8:51:46 AM
YC3P,1000,10,05,1000,100,100000225,15112,DDP,10010,1001,900,BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/12/2018,9:20:39 AM
YC3P,1000,10,05,1000,100,100000225,15119,DDP,10010,1001,900,BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/12/2018,9:29:20 AM
YC3P,1000,10,05,1000,100,100000129,15236,DDP,10010,1000,"5,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/12/2018,11:03:29 AM
YC3P,1000,10,05,1000,100,100000235,15537,DDP,10010,1001,"2,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,ZZAMAN,M,2/13/2018,8:29:52 AM
YC3P,1000,10,05,1000,100,100000365,15569,DDP,10010,1000,"3,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/13/2018,9:01:16 AM
YC3P,1000,10,05,1000,100,100000365,15743,DDP,10010,1000,"3,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/13/2018,11:43:23 AM
YC3P,1000,10,05,1000,100,100000510,16126,DDP,10010,1000,"2,700",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PKEITER,M,2/14/2018,9:38:12 AM
YC3P,1000,10,05,1000,100,100000154,16196,DDP,10010,1001,"1,500",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CDUNLAP,M,2/14/2018,11:18:13 AM
YC3P,1000,10,05,1000,100,100000569,16520,DDP,10010,1000,900,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,2/14/2018,3:13:22 PM
YC3P,1000,10,05,1000,100,100000455,16654,DDP,10082,1005,227,TO,5/1/2019,5/31/2019,US_ND_ENDERLIN,AGPATH ENDERLIN CANOLA SEED VAL,1,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,JMCNEILE,M,2/15/2018,7:08:10 AM
YC3P,1000,10,05,1000,100,100000053,16890,DDP,10010,1001,"3,400",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PKEITER,M,2/15/2018,12:13:35 PM
YC3P,1000,10,05,1000,100,100000150,16944,DDP,10010,1000,"2,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,2/15/2018,1:08:09 PM
YC3P,1000,10,05,1000,100,100000077,17172,DDP,10010,1001,"1,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/16/2018,9:29:16 AM
YC3P,1000,10,05,1000,100,100000104,17241,DDP,10010,1000,"1,800",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/16/2018,10:24:50 AM
YC3P,1000,10,05,1000,100,100000247,17373,DDP,10010,1000,"15,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VCHERUKO,M,2/16/2018,12:32:23 PM
YC3P,1000,10,05,1000,100,100000118,17423,DDP,10010,1001,"9,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,SUJEJADH,M,2/16/2018,2:08:26 PM
YC3P,1000,10,05,1000,100,100000108,17514,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,2/16/2018,4:25:08 PM
YC3P,1000,10,05,1000,100,100000100,17595,DDP,10010,1000,"3,600",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/19/2018,10:31:24 AM
YC3P,1000,10,05,1000,100,100000159,17598,DDP,10010,1000,"1,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VGONUGUNTLA,M,2/19/2018,10:35:02 AM
YC3P,1000,10,05,1000,100,100000105,17607,DDP,10010,1001,900,BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,VCHERUKO,M,2/19/2018,10:49:19 AM
YC3P,1000,10,05,1000,100,100000105,17608,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,VCHERUKO,M,2/19/2018,10:50:18 AM
YC3P,1000,10,05,1000,100,100000573,17776,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/20/2018,9:27:04 AM
YC3P,1000,10,05,1000,100,100000177,17851,DDP,10010,1000,"3,600",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,VCHERUKO,M,2/20/2018,10:04:01 AM
YC3P,1000,10,05,1000,100,100000303,17866,DDP,10010,1000,"2,400",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CKESKA,M,2/20/2018,10:15:58 AM
YC3P,1000,10,05,1000,100,100000113,17904,DDP,10082,1005,454,TO,5/1/2019,5/31/2019,US_ND_ENDERLIN,AGPATH ENDERLIN CANOLA SEED VAL,1,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CMHUMM,M,2/20/2018,10:43:54 AM
YC3P,1000,10,05,1000,100,100000096,18040,DDP,10010,1001,"4,700",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/20/2018,11:48:11 AM
YC3P,1000,10,05,1000,100,100000443,18148,DDP,10010,1000,"3,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/20/2018,1:30:11 PM
YC3P,1000,10,05,1000,100,100000183,18390,DDP,10010,1001,"1,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,ESAHARE,M,2/21/2018,9:16:30 AM
YC3P,1000,10,05,1000,100,100000564,18396,DDP,10010,1000,"1,800",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,RLAU,M,2/21/2018,9:26:28 AM
YC3P,1000,10,05,1000,100,100000293,18433,DDP,10010,1001,"10,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,PBAJANTR,M,2/21/2018,9:46:01 AM
YC3P,1000,10,05,1000,100,100000365,18448,DDP,10010,1000,"3,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/21/2018,10:17:37 AM
YC3P,1000,10,05,1000,100,100000226,18449,DDP,10010,1000,850,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/21/2018,10:18:36 AM
YC3P,1000,10,05,1000,100,100000069,18591,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,AODLAUG,M,2/21/2018,11:35:10 AM
YC3P,1000,10,05,1000,100,100000109,18616,DDP,10010,1001,"3,600",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/21/2018,12:14:23 PM
YC3P,1000,10,05,1000,100,100000161,18902,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,ZZAMAN,M,2/22/2018,9:24:15 AM
YC3P,1000,10,05,1000,100,100000216,18944,DDP,10010,1000,"2,700",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,VGONUGUNTLA,M,2/22/2018,10:31:17 AM
YC3P,1000,10,05,1000,100,100000152,18993,DDP,10010,1001,"15,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/22/2018,11:51:41 AM
YC3P,1000,10,05,1000,100,100000110,19297,DDP,10010,1001,"1,700",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VGONUGUNTLA,M,2/23/2018,11:37:10 AM
YC3P,1000,10,05,1000,100,100000233,19321,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,JPATHAK,M,2/23/2018,11:57:42 AM
YC3P,1000,10,05,1000,100,100000116,19495,DDP,10010,1001,500,BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CKESKA,M,2/23/2018,2:26:16 PM
YC3P,1000,10,05,1000,100,100000116,19512,FOB,10010,1000,500,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CKESKA,M,2/23/2018,2:34:40 PM
YC3P,1000,10,05,1000,100,100000116,19515,DDP,10010,1000,500,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,CKESKA,M,2/23/2018,2:44:06 PM
YC3P,1000,10,05,1000,100,100000162,19518,DDP,10010,1001,"15,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,2/23/2018,2:52:22 PM
YC3P,1000,10,05,1000,100,100000416,19613,DDP,10010,1000,"3,600",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VCHERUKO,M,2/26/2018,8:48:20 AM
YC3P,1000,10,05,1000,100,100000084,19614,DDP,10010,1000,"1,800",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,VCHERUKO,M,2/26/2018,8:49:32 AM
